_time;dvc_name;src_ip;dest_ip;dest_port;application
2026-06-17T10:55:22.100+0000;IE1ENSFW01;10.145.5.51;10.246.240.26;57534;incomplete
2026-06-17T10:24:55.100+0000;IE1ENSFW01;10.145.5.51;10.246.241.111;36232;incomplete
2026-06-17T09:51:08.100+0000;IE1ENSFW01;10.145.5.51;10.246.242.78;59410;incomplete
2026-06-17T12:26:39.100+0000;IE1ENSFW01;10.145.4.192;10.246.178.125;51042;incomplete
2026-06-17T11:34:39.100+0000;IE1ENSFW01;10.145.4.192;10.246.178.158;60754;incomplete
2026-06-17T11:29:58.100+0000;IE1ENSFW01;10.145.4.192;10.246.181.8;58288;incomplete
2026-06-17T11:26:01.100+0000;IE1ENSFW01;10.145.4.192;10.246.186.109;55684;incomplete
2026-06-17T11:12:03.100+0000;IE1ENSFW01;10.145.4.192;10.246.185.79;60832;incomplete
2026-06-17T10:54:01.100+0000;IE1ENSFW01;10.145.4.192;10.246.177.198;46822;incomplete
2026-06-17T12:26:38.100+0000;IE1ENSFW01;10.145.4.124;10.246.176.223;50846;incomplete
2026-06-17T12:16:53.100+0000;IE1ENSFW01;10.145.4.124;10.175.81.188;38440;incomplete
2026-06-17T11:42:14.100+0000;IE1ENSFW01;10.145.4.124;10.246.184.197;56282;incomplete
2026-06-17T11:19:58.100+0000;IE1ENSFW01;10.145.4.124;10.246.180.131;47502;incomplete
2026-06-17T11:19:57.100+0000;IE1ENSFW01;10.145.4.124;10.175.89.132;38792;incomplete
2026-06-17T11:12:05.100+0000;IE1ENSFW01;10.145.4.124;10.246.186.27;36332;incomplete
2026-06-17T10:38:53.100+0000;IE1ENSFW01;10.145.4.124;10.246.179.149;60648;incomplete
2026-06-17T10:18:56.100+0000;IE1ENSFW01;10.145.4.124;10.246.180.66;52088;incomplete
2026-06-17T10:18:55.100+0000;IE1ENSFW01;10.145.4.124;10.246.186.53;49966;incomplete
2026-06-17T10:18:53.100+0000;IE1ENSFW01;10.145.4.124;10.246.176.21;54248;incomplete
2026-06-17T10:09:49.100+0000;IE1ENSFW01;10.145.4.124;10.246.182.17;47538;incomplete
2026-06-17T12:26:36.100+0000;IE1ENSFW01;10.146.5.51;10.246.67.83;48078;incomplete
2026-06-17T12:19:31.100+0000;IE1ENSFW01;10.146.5.51;10.246.65.109;54358;incomplete
2026-06-17T10:17:49.100+0000;IE1ENSFW01;10.146.5.51;10.246.67.98;55022;incomplete
2026-06-17T09:56:09.100+0000;IE1ENSFW01;10.146.5.51;10.246.65.229;50814;incomplete
2026-06-17T09:53:08.100+0000;IE1ENSFW01;10.146.5.51;10.246.68.129;52182;incomplete
2026-06-17T09:44:09.100+0000;IE1ENSFW01;10.146.5.51;10.246.65.6;51444;incomplete
2026-06-17T12:26:34.100+0000;IE1ENSFW01;10.136.90.233;10.159.180.216;1433;mssql-db-unencrypted
2026-06-17T12:26:32.100+0000;IE1ENSFW01;10.145.0.101;10.246.64.158;58060;incomplete
2026-06-17T12:24:32.100+0000;IE1ENSFW01;10.145.0.101;10.246.66.156;39034;incomplete
2026-06-17T12:16:52.100+0000;IE1ENSFW01;10.145.0.101;10.246.67.30;57382;incomplete
2026-06-17T12:03:02.100+0000;IE1ENSFW01;10.145.0.101;10.246.67.98;51848;incomplete
2026-06-17T11:55:03.100+0000;IE1ENSFW01;10.145.0.101;10.246.64.209;57866;incomplete
2026-06-17T11:49:16.100+0000;IE1ENSFW01;10.145.0.101;10.246.65.6;47152;incomplete
2026-06-17T11:39:31.100+0000;IE1ENSFW01;10.145.0.101;10.246.65.229;32880;incomplete
2026-06-17T11:30:02.100+0000;IE1ENSFW01;10.145.0.101;10.246.66.88;58832;incomplete
2026-06-17T11:25:57.100+0000;IE1ENSFW01;10.145.0.101;10.246.69.224;32946;incomplete
2026-06-17T11:07:21.100+0000;IE1ENSFW01;10.145.0.101;10.246.69.116;40322;incomplete
2026-06-17T11:07:21.100+0000;IE1ENSFW01;10.145.0.101;10.246.69.44;42216;incomplete
2026-06-17T10:32:56.100+0000;IE1ENSFW01;10.145.0.101;10.246.69.114;46504;incomplete
2026-06-17T09:49:08.100+0000;IE1ENSFW01;10.145.0.101;10.246.64.249;43222;incomplete
2026-06-17T12:26:31.100+0000;IE1ENSFW01;10.145.0.107;10.246.240.26;53338;incomplete
2026-06-17T12:03:03.100+0000;IE1ENSFW01;10.145.0.107;10.246.248.235;57666;incomplete
2026-06-17T11:55:03.100+0000;IE1ENSFW01;10.145.0.107;10.246.250.251;37982;incomplete
2026-06-17T11:55:03.100+0000;IE1ENSFW01;10.145.0.107;10.246.240.212;51780;incomplete
2026-06-17T11:49:15.100+0000;IE1ENSFW01;10.145.0.107;10.246.247.133;50722;incomplete
2026-06-17T11:45:16.100+0000;IE1ENSFW01;10.145.0.107;10.246.249.230;50966;incomplete
2026-06-17T11:39:16.100+0000;IE1ENSFW01;10.145.0.107;10.246.248.76;37602;incomplete
2026-06-17T11:30:03.100+0000;IE1ENSFW01;10.145.0.107;10.246.249.111;53574;incomplete
2026-06-17T11:25:58.100+0000;IE1ENSFW01;10.145.0.107;10.246.248.204;52952;incomplete
2026-06-17T11:16:02.100+0000;IE1ENSFW01;10.145.0.107;10.246.247.250;36848;incomplete
2026-06-17T11:13:57.100+0000;IE1ENSFW01;10.145.0.107;10.246.244.210;48806;incomplete
2026-06-17T11:12:02.100+0000;IE1ENSFW01;10.145.0.107;10.246.241.111;54020;incomplete
